Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
05/06/2020,02/01/2020,05/02/2020,Alabama,Male,15-24 years,0,95,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Alabama,Male,25-34 years,,169,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Alabama,Male,35-44 years,,251,14,,,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Alabama,Male,45-54 years,14,505,22,,,38,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Alabama,Male,55-64 years,16,"1,174",81,,15,108,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Alabama,Male,65-74 years,41,"1,655",122,11,13,165,
05/06/2020,02/01/2020,05/02/2020,Alabama,Male,75-84 years,31,"1,710",145,11,,171,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Alabama,Male,85 years and over,26,"1,251",86,11,,107,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Alabama,Male Total,"Male, all ages",131,"6,874",477,42,50,616,
05/06/2020,02/01/2020,05/02/2020,Alabama,Female,Under 1 year,0,30,0,0,0,0,
05/06/2020,02/01/2020,05/02/2020,Alabama,Female,1-4 years,0,11,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Alabama,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Alabama,Female,15-24 years,0,38,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Alabama,Female,25-34 years,0,80,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Alabama,Female,35-44 years,,148,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Alabama,Female,45-54 years,,338,18,0,,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Alabama,Female,55-64 years,13,795,65,,,85,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Alabama,Female,65-74 years,20,"1,250",66,,11,91,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Alabama,Female,75-84 years,21,"1,659",104,,,125,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Alabama,Female,85 years and over,16,"2,058",107,,,119,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Alabama,Female Total,"Female, all ages",77,"6,415",367,18,35,461,
05/06/2020,02/01/2020,05/02/2020,Alabama,Unknown,All ages,0,0,0,0,0,0,
05/06/2020,02/01/2020,05/02/2020,Alabama Total,All sexes,All Ages,208,"13,289",844,60,85,"1,077",
05/06/2020,02/01/2020,05/02/2020,Alaska,Male,Under 1 year,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Alaska,Male,1-4 years,0,0,0,0,0,0,
05/06/2020,02/01/2020,05/02/2020,Alaska,Male,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Alaska,Male,15-24 years,0,16,0,0,0,0,
05/06/2020,02/01/2020,05/02/2020,Alaska,Male,25-34 years,0,22,0,0,0,0,
05/06/2020,02/01/2020,05/02/2020,Alaska,Male,35-44 years,0,25,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Alaska,Male,45-54 years,0,41,0,0,0,0,
05/06/2020,02/01/2020,05/02/2020,Alaska,Male,55-64 years,0,91,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Alaska,Male,65-74 years,,123,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Alaska,Male,75-84 years,0,141,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Alaska,Male,85 years and over,0,78,,0,,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Alaska,Male Total,"Male, all ages",,548,29,,,32,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Alaska,Female,Under 1 year,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Alaska,Female,1-4 years,0,,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Alaska,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Alaska,Female,15-24 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Alaska,Female,25-34 years,,14,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Alaska,Female,35-44 years,0,22,0,0,0,0,
05/06/2020,02/01/2020,05/02/2020,Alaska,Female,45-54 years,,21,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Alaska,Female,55-64 years,,63,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Alaska,Female,65-74 years,,87,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Alaska,Female,75-84 years,0,80,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Alaska,Female,85 years and over,0,94,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Alaska,Female Total,"Female, all ages",,391,19,,,24,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Alaska,Unknown,All ages,0,0,0,0,0,0,
05/06/2020,02/01/2020,05/02/2020,Alaska Total,All sexes,All Ages,,939,48,,,56,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arizona,Male,Under 1 year,0,47,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arizona,Male,1-4 years,0,13,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arizona,Male,5-14 years,0,18,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arizona,Male,15-24 years,0,196,0,0,0,0,
05/06/2020,02/01/2020,05/02/2020,Arizona,Male,25-34 years,,284,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arizona,Male,35-44 years,,326,12,,,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arizona,Male,45-54 years,,551,24,,,32,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arizona,Male,55-64 years,24,"1,281",87,15,13,109,
05/06/2020,02/01/2020,05/02/2020,Arizona,Male,65-74 years,32,"1,987",150,14,14,182,
05/06/2020,02/01/2020,05/02/2020,Arizona,Male,75-84 years,50,"2,451",214,29,12,247,
05/06/2020,02/01/2020,05/02/2020,Arizona,Male,85 years and over,42,"2,090",167,22,10,197,
05/06/2020,02/01/2020,05/02/2020,Arizona,Male Total,"Male, all ages",164,"9,244",662,90,60,796,
05/06/2020,02/01/2020,05/02/2020,Arizona,Female,Under 1 year,0,52,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arizona,Female,1-4 years,0,15,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arizona,Female,5-14 years,0,14,0,0,0,0,
05/06/2020,02/01/2020,05/02/2020,Arizona,Female,15-24 years,0,53,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arizona,Female,25-34 years,,125,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arizona,Female,35-44 years,,171,,,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arizona,Female,45-54 years,,303,21,,,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arizona,Female,55-64 years,16,828,74,,,90,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arizona,Female,65-74 years,24,"1,457",115,13,13,139,
05/06/2020,02/01/2020,05/02/2020,Arizona,Female,75-84 years,37,"2,128",156,15,,187,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arizona,Female,85 years and over,42,"2,843",184,16,,217,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arizona,Female Total,"Female, all ages",130,"7,989",571,57,46,690,
05/06/2020,02/01/2020,05/02/2020,Arizona,Unknown,All ages,0,0,0,0,0,0,
05/06/2020,02/01/2020,05/02/2020,Arizona Total,All sexes,All Ages,294,"17,233","1,233",147,106,"1,486",
05/06/2020,02/01/2020,05/02/2020,Arkansas,Male,Under 1 year,0,32,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arkansas,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arkansas,Male,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arkansas,Male,15-24 years,0,61,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arkansas,Male,25-34 years,,109,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arkansas,Male,35-44 years,0,157,12,0,,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arkansas,Male,45-54 years,,302,14,,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arkansas,Male,55-64 years,,731,50,,,60,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arkansas,Male,65-74 years,,"1,025",68,,10,79,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arkansas,Male,75-84 years,13,"1,129",87,,,103,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arkansas,Male,85 years and over,,823,81,0,,86,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arkansas,Male Total,"Male, all ages",26,"4,385",317,,35,369,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arkansas,Female,Under 1 year,0,21,0,0,0,0,
05/06/2020,02/01/2020,05/02/2020,Arkansas,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arkansas,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arkansas,Female,15-24 years,0,23,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arkansas,Female,25-34 years,0,64,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arkansas,Female,35-44 years,,100,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arkansas,Female,45-54 years,0,211,15,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arkansas,Female,55-64 years,,477,40,,,47,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arkansas,Female,65-74 years,,768,48,0,,61,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arkansas,Female,75-84 years,,"1,042",64,0,,70,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arkansas,Female,85 years and over,,"1,335",81,,,95,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arkansas,Female Total,"Female, all ages",18,"4,052",257,,32,303,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Arkansas,Unknown,All ages,0,0,0,0,0,0,
05/06/2020,02/01/2020,05/02/2020,Arkansas Total,All sexes,All Ages,44,"8,437",574,13,67,672,
05/06/2020,02/01/2020,05/02/2020,California,Male,Under 1 year,0,222,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,California,Male,1-4 years,0,46,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,California,Male,5-14 years,0,67,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,California,Male,15-24 years,0,574,15,0,,16,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,California,Male,25-34 years,13,"1,118",30,,,45,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,California,Male,35-44 years,28,"1,375",74,12,10,100,
05/06/2020,02/01/2020,05/02/2020,California,Male,45-54 years,68,"2,514",166,34,33,233,
05/06/2020,02/01/2020,05/02/2020,California,Male,55-64 years,116,"5,654",430,64,68,550,
05/06/2020,02/01/2020,05/02/2020,California,Male,65-74 years,189,"8,037",761,111,57,896,
05/06/2020,02/01/2020,05/02/2020,California,Male,75-84 years,233,"9,092",969,141,56,"1,117",
05/06/2020,02/01/2020,05/02/2020,California,Male,85 years and over,196,"10,134","1,024",107,51,"1,164",
05/06/2020,02/01/2020,05/02/2020,California,Male Total,"Male, all ages",843,"38,833","3,478",475,291,"4,137",
05/06/2020,02/01/2020,05/02/2020,California,Female,Under 1 year,0,185,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,California,Female,1-4 years,0,28,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,California,Female,5-14 years,0,47,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,California,Female,15-24 years,,185,,,,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,California,Female,25-34 years,,405,16,0,,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,California,Female,35-44 years,14,672,43,,,60,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,California,Female,45-54 years,27,"1,435",97,15,20,129,
05/06/2020,02/01/2020,05/02/2020,California,Female,55-64 years,40,"3,381",264,21,46,329,
05/06/2020,02/01/2020,05/02/2020,California,Female,65-74 years,94,"5,519",478,57,47,562,
05/06/2020,02/01/2020,05/02/2020,California,Female,75-84 years,144,"8,326",740,96,69,857,
05/06/2020,02/01/2020,05/02/2020,California,Female,85 years and over,253,"14,685","1,271",155,62,"1,431",
05/06/2020,02/01/2020,05/02/2020,California,Female Total,"Female, all ages",576,"34,868","2,925",351,264,"3,414",
05/06/2020,02/01/2020,05/02/2020,California,Unknown,All ages,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,California Total,All sexes,All Ages,"1,419","73,702","6,403",826,555,"7,551",
05/06/2020,02/01/2020,05/02/2020,Colorado,Male,Under 1 year,,47,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Colorado,Male,1-4 years,0,,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Colorado,Male,5-14 years,0,15,0,0,0,0,
05/06/2020,02/01/2020,05/02/2020,Colorado,Male,15-24 years,,110,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Colorado,Male,25-34 years,,208,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Colorado,Male,35-44 years,,273,14,,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Colorado,Male,45-54 years,20,403,23,10,,39,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Colorado,Male,55-64 years,31,883,74,17,10,98,
05/06/2020,02/01/2020,05/02/2020,Colorado,Male,65-74 years,72,"1,291",148,44,10,186,
05/06/2020,02/01/2020,05/02/2020,Colorado,Male,75-84 years,106,"1,405",164,72,,202,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Colorado,Male,85 years and over,116,"1,401",147,69,10,202,
05/06/2020,02/01/2020,05/02/2020,Colorado,Male Total,"Male, all ages",355,"6,041",577,217,46,759,
05/06/2020,02/01/2020,05/02/2020,Colorado,Female,Under 1 year,,43,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Colorado,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Colorado,Female,5-14 years,0,,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Colorado,Female,15-24 years,,43,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Colorado,Female,25-34 years,0,86,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Colorado,Female,35-44 years,,123,,0,,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Colorado,Female,45-54 years,,241,15,,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Colorado,Female,55-64 years,11,557,37,,11,52,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Colorado,Female,65-74 years,55,906,80,29,,113,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Colorado,Female,75-84 years,78,"1,255",127,37,,173,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/06/2020,02/01/2020,05/02/2020,Colorado,Female,85 years and over,120,"2,183",189,68,13,254,
05/06/2020,02/01/2020,05/02/2020,Colorado,Female Total,"Female, all ages",272,"5,446",459,143,46,631,
05/06/2020,02/01/2020,05/02/2020,Colorado,Unknown,All ages,0,0,0,0,0,0,
05/06/2020,02/01/2020,05/02/2020,Colorado Total,All sexes,All Ages,627,"11,487","1,036",360,92,"1,390",
05/06/2020,02/01/2020,05/02/2020,Connecticut,Male,Under 1 year,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
