Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
05/13/2020,02/01/2020,05/09/2020,Alabama,Male,25-34 years,,182,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Alabama,Male,35-44 years,,279,14,,,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Alabama,Male,45-54 years,15,533,24,,,41,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Alabama,Male,55-64 years,19,"1,271",84,,15,113,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Alabama,Male,65-74 years,49,"1,787",130,13,14,180,
05/13/2020,02/01/2020,05/09/2020,Alabama,Male,75-84 years,41,"1,837",156,14,,189,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Alabama,Male,85 years and over,35,"1,357",97,13,,125,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Alabama,Male Total,"Male, all ages",162,"7,416",512,51,52,675,
05/13/2020,02/01/2020,05/09/2020,Alabama,Female,Under 1 year,0,31,0,0,0,0,
05/13/2020,02/01/2020,05/09/2020,Alabama,Female,1-4 years,0,12,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Alabama,Female,5-14 years,0,10,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Alabama,Female,15-24 years,0,43,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Alabama,Female,25-34 years,0,86,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Alabama,Female,35-44 years,,162,,0,,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Alabama,Female,45-54 years,,363,21,,,30,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Alabama,Female,55-64 years,18,852,72,,,96,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Alabama,Female,65-74 years,25,"1,346",73,,11,101,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Alabama,Female,75-84 years,32,"1,798",115,10,,142,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Alabama,Female,85 years and over,21,"2,211",112,,,128,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Alabama,Female Total,"Female, all ages",104,"6,914",403,28,35,514,
05/13/2020,02/01/2020,05/09/2020,Alabama,Unknown,All ages,0,0,0,0,0,0,
05/13/2020,02/01/2020,05/09/2020,Alabama Total,All sexes,All Ages,266,"14,330",915,79,87,"1,189",
05/13/2020,02/01/2020,05/09/2020,Alaska,Male,Under 1 year,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Alaska,Male,1-4 years,0,0,0,0,0,0,
05/13/2020,02/01/2020,05/09/2020,Alaska,Male,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Alaska,Male,15-24 years,0,19,0,0,0,0,
05/13/2020,02/01/2020,05/09/2020,Alaska,Male,25-34 years,0,22,0,0,0,0,
05/13/2020,02/01/2020,05/09/2020,Alaska,Male,35-44 years,0,26,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Alaska,Male,45-54 years,0,46,0,0,0,0,
05/13/2020,02/01/2020,05/09/2020,Alaska,Male,55-64 years,0,105,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Alaska,Male,65-74 years,,132,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Alaska,Male,75-84 years,0,147,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Alaska,Male,85 years and over,0,88,10,0,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Alaska,Male Total,"Male, all ages",,596,30,,,33,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Alaska,Female,Under 1 year,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Alaska,Female,1-4 years,0,,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Alaska,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Alaska,Female,15-24 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Alaska,Female,25-34 years,,15,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Alaska,Female,35-44 years,0,23,0,0,0,0,
05/13/2020,02/01/2020,05/09/2020,Alaska,Female,45-54 years,,26,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Alaska,Female,55-64 years,,66,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Alaska,Female,65-74 years,,92,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Alaska,Female,75-84 years,0,86,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Alaska,Female,85 years and over,0,101,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Alaska,Female Total,"Female, all ages",,420,19,,,24,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Alaska,Unknown,All ages,0,0,0,0,0,0,
05/13/2020,02/01/2020,05/09/2020,Alaska Total,All sexes,All Ages,,"1,016",49,,,57,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Arizona,Male,Under 1 year,0,51,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Arizona,Male,1-4 years,0,14,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Arizona,Male,5-14 years,0,20,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Arizona,Male,15-24 years,0,207,0,0,0,0,
05/13/2020,02/01/2020,05/09/2020,Arizona,Male,25-34 years,,309,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Arizona,Male,35-44 years,,349,12,,,16,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Arizona,Male,45-54 years,12,612,31,,,39,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Arizona,Male,55-64 years,29,"1,385",96,18,13,120,
05/13/2020,02/01/2020,05/09/2020,Arizona,Male,65-74 years,39,"2,162",166,16,14,203,
05/13/2020,02/01/2020,05/09/2020,Arizona,Male,75-84 years,69,"2,637",235,39,12,277,
05/13/2020,02/01/2020,05/09/2020,Arizona,Male,85 years and over,63,"2,259",176,26,10,223,
05/13/2020,02/01/2020,05/09/2020,Arizona,Male Total,"Male, all ages",221,"10,005",725,113,60,893,
05/13/2020,02/01/2020,05/09/2020,Arizona,Female,Under 1 year,0,54,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Arizona,Female,1-4 years,0,17,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Arizona,Female,5-14 years,0,16,0,0,0,0,
05/13/2020,02/01/2020,05/09/2020,Arizona,Female,15-24 years,0,54,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Arizona,Female,25-34 years,,138,,0,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Arizona,Female,35-44 years,,186,10,,,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Arizona,Female,45-54 years,11,325,24,,,35,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Arizona,Female,55-64 years,18,882,78,10,,95,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Arizona,Female,65-74 years,37,"1,574",127,19,14,159,
05/13/2020,02/01/2020,05/09/2020,Arizona,Female,75-84 years,47,"2,307",173,19,10,211,
05/13/2020,02/01/2020,05/09/2020,Arizona,Female,85 years and over,59,"3,090",200,22,,244,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Arizona,Female Total,"Female, all ages",175,"8,643",626,76,48,773,
05/13/2020,02/01/2020,05/09/2020,Arizona,Unknown,All ages,0,0,0,0,0,0,
05/13/2020,02/01/2020,05/09/2020,Arizona Total,All sexes,All Ages,396,"18,648","1,351",189,108,"1,666",
05/13/2020,02/01/2020,05/09/2020,Arkansas,Male,Under 1 year,0,35,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Arkansas,Male,1-4 years,0,,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Arkansas,Male,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Arkansas,Male,15-24 years,,69,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Arkansas,Male,25-34 years,,125,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Arkansas,Male,35-44 years,0,171,13,0,,16,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Arkansas,Male,45-54 years,,322,16,,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Arkansas,Male,55-64 years,,785,55,,10,67,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Arkansas,Male,65-74 years,,"1,115",74,,10,86,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Arkansas,Male,75-84 years,14,"1,209",98,,,115,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Arkansas,Male,85 years and over,,880,88,,,93,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Arkansas,Male Total,"Male, all ages",32,"4,727",350,12,38,408,
05/13/2020,02/01/2020,05/09/2020,Arkansas,Female,Under 1 year,0,21,0,0,0,0,
05/13/2020,02/01/2020,05/09/2020,Arkansas,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Arkansas,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Arkansas,Female,15-24 years,0,25,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Arkansas,Female,25-34 years,0,69,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Arkansas,Female,35-44 years,,105,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Arkansas,Female,45-54 years,0,226,19,0,,22,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Arkansas,Female,55-64 years,,504,42,,,50,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Arkansas,Female,65-74 years,,822,50,0,,63,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Arkansas,Female,75-84 years,,"1,118",70,0,,77,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Arkansas,Female,85 years and over,12,"1,445",88,,,106,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Arkansas,Female Total,"Female, all ages",25,"4,348",279,,33,332,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Arkansas,Unknown,All ages,0,0,0,0,0,0,
05/13/2020,02/01/2020,05/09/2020,Arkansas Total,All sexes,All Ages,57,"9,075",629,17,71,740,
05/13/2020,02/01/2020,05/09/2020,California,Male,Under 1 year,0,244,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,California,Male,1-4 years,0,47,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,California,Male,5-14 years,0,68,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,California,Male,15-24 years,0,626,16,0,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,California,Male,25-34 years,14,"1,198",32,,,48,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,California,Male,35-44 years,35,"1,478",82,17,10,110,
05/13/2020,02/01/2020,05/09/2020,California,Male,45-54 years,84,"2,707",181,39,33,259,
05/13/2020,02/01/2020,05/09/2020,California,Male,55-64 years,139,"6,032",465,77,68,595,
05/13/2020,02/01/2020,05/09/2020,California,Male,65-74 years,229,"8,595",824,134,58,977,
05/13/2020,02/01/2020,05/09/2020,California,Male,75-84 years,284,"9,729","1,039",171,56,"1,208",
05/13/2020,02/01/2020,05/09/2020,California,Male,85 years and over,250,"10,816","1,113",138,51,"1,276",
05/13/2020,02/01/2020,05/09/2020,California,Male Total,"Male, all ages","1,035","41,540","3,761",582,292,"4,506",
05/13/2020,02/01/2020,05/09/2020,California,Female,Under 1 year,0,197,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,California,Female,1-4 years,0,28,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,California,Female,5-14 years,0,47,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,California,Female,15-24 years,,205,10,,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,California,Female,25-34 years,,445,16,0,,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,California,Female,35-44 years,16,722,45,,,63,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,California,Female,45-54 years,35,"1,534",114,22,20,147,
05/13/2020,02/01/2020,05/09/2020,California,Female,55-64 years,55,"3,619",282,29,46,354,
05/13/2020,02/01/2020,05/09/2020,California,Female,65-74 years,121,"5,894",519,72,47,615,
05/13/2020,02/01/2020,05/09/2020,California,Female,75-84 years,184,"8,869",802,120,69,935,
05/13/2020,02/01/2020,05/09/2020,California,Female,85 years and over,322,"15,740","1,373",200,62,"1,557",
05/13/2020,02/01/2020,05/09/2020,California,Female Total,"Female, all ages",737,"37,300","3,168",451,265,"3,719",
05/13/2020,02/01/2020,05/09/2020,California,Unknown,All ages,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,California Total,All sexes,All Ages,"1,772","78,841","6,929","1,033",557,"8,225",
05/13/2020,02/01/2020,05/09/2020,Colorado,Male,Under 1 year,,47,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Colorado,Male,1-4 years,0,,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Colorado,Male,5-14 years,0,16,0,0,0,0,
05/13/2020,02/01/2020,05/09/2020,Colorado,Male,15-24 years,,128,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Colorado,Male,25-34 years,,223,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Colorado,Male,35-44 years,,306,14,,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Colorado,Male,45-54 years,25,438,27,13,,45,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Colorado,Male,55-64 years,41,958,78,20,10,109,
05/13/2020,02/01/2020,05/09/2020,Colorado,Male,65-74 years,95,"1,403",167,59,10,213,
05/13/2020,02/01/2020,05/09/2020,Colorado,Male,75-84 years,129,"1,539",184,85,,232,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Colorado,Male,85 years and over,152,"1,531",171,87,10,244,
05/13/2020,02/01/2020,05/09/2020,Colorado,Male Total,"Male, all ages",453,"6,595",649,269,46,877,
05/13/2020,02/01/2020,05/09/2020,Colorado,Female,Under 1 year,,47,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Colorado,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Colorado,Female,5-14 years,0,,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Colorado,Female,15-24 years,,46,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Colorado,Female,25-34 years,0,96,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Colorado,Female,35-44 years,,134,,,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Colorado,Female,45-54 years,,258,18,,,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Colorado,Female,55-64 years,17,604,49,12,11,65,
05/13/2020,02/01/2020,05/09/2020,Colorado,Female,65-74 years,69,987,86,34,,128,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Colorado,Female,75-84 years,95,"1,349",143,46,,197,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Colorado,Female,85 years and over,168,"2,388",218,90,13,309,
05/13/2020,02/01/2020,05/09/2020,Colorado,Female Total,"Female, all ages",361,"5,920",526,187,46,743,
05/13/2020,02/01/2020,05/09/2020,Colorado,Unknown,All ages,0,0,0,0,0,0,
05/13/2020,02/01/2020,05/09/2020,Colorado Total,All sexes,All Ages,814,"12,515","1,175",456,92,"1,620",
05/13/2020,02/01/2020,05/09/2020,Connecticut,Male,Under 1 year,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,05/09/2020,Connecticut,Male,1-4 years,0,0,0,0,0,0,
