Data as of,Group,State,Indicator,Start week,End week,All COVID-19 Deaths (U07.1),Deaths from All Causes,Percent of Expected Deaths,All Pneumonia Deaths (J12.0-J18.9),Deaths with Pneumonia and COVID-19 (J12.0-J18.9 and U07.1),All Influenza Deaths (J09-J11),"Pneumonia, Influenza, and COVID-19 Deaths",Footnote
04/30/2020,By state,District of Columbia,District of Columbia,02/01/2020,04/25/2020,58,"1,452",0.92,165,58,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
04/30/2020,By state,Florida,Florida,02/01/2020,04/25/2020,784,"54,148",0.99,"3,905",423,281,,
04/30/2020,By state,Georgia,Georgia,02/01/2020,04/25/2020,460,"19,739",0.91,"1,306",213,94,,
04/30/2020,By state,Hawaii,Hawaii,02/01/2020,04/25/2020,,"2,830",0.94,185,,18,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
04/30/2020,By state,Idaho,Idaho,02/01/2020,04/25/2020,44,"3,553",0.96,195,13,24,,
04/30/2020,By state,Illinois,Illinois,02/01/2020,04/25/2020,977,"28,696",1.04,"2,529",558,170,,
04/30/2020,By state,Indiana,Indiana,02/01/2020,04/25/2020,493,"16,502",0.95,"1,526",264,121,,
04/30/2020,By state,Iowa,Iowa,02/01/2020,04/25/2020,78,"7,447",0.94,531,20,80,,
04/30/2020,By state,Kansas,Kansas,02/01/2020,04/25/2020,82,"6,559",0.94,448,35,85,,
04/30/2020,By state,Kentucky,Kentucky,02/01/2020,04/25/2020,105,"10,794",0.86,959,60,85,,
04/30/2020,By state,Louisiana,Louisiana,02/01/2020,04/25/2020,779,"11,174",0.95,825,329,61,,
04/30/2020,By state,Maine,Maine,02/01/2020,04/25/2020,39,"3,813",1,318,11,30,,
04/30/2020,By state,Maryland,Maryland,02/01/2020,04/25/2020,631,"13,661",1.05,"1,233",268,110,,
04/30/2020,By state,Massachusetts,Massachusetts,02/01/2020,04/25/2020,"1,872","17,627",1.12,"2,036",693,150,,
04/30/2020,By state,Michigan,Michigan,02/01/2020,04/25/2020,"1,746","26,798",1.06,"2,580",838,221,,
04/30/2020,By state,Minnesota,Minnesota,02/01/2020,04/25/2020,169,"11,351",0.99,832,60,113,,
04/30/2020,By state,Mississippi,Mississippi,02/01/2020,04/25/2020,186,"8,064",0.99,737,90,51,,
04/30/2020,By state,Missouri,Missouri,02/01/2020,04/25/2020,181,"15,085",0.89,956,65,169,,
04/30/2020,By state,Montana,Montana,02/01/2020,04/25/2020,,"2,248",0.84,132,,32,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
04/30/2020,By state,Nebraska,Nebraska,02/01/2020,04/25/2020,21,"3,971",0.9,306,,27,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
04/30/2020,By state,Nevada,Nevada,02/01/2020,04/25/2020,134,"6,431",0.96,534,106,36,,
04/30/2020,By state,New Hampshire,New Hampshire,02/01/2020,04/25/2020,54,"3,193",0.99,223,18,29,,
04/30/2020,By state,New Jersey,New Jersey,02/01/2020,04/25/2020,"4,147","25,480",1.31,"3,815","2,100",108,,
04/30/2020,By state,New Mexico,New Mexico,02/01/2020,04/25/2020,36,"4,113",0.85,291,22,25,,
04/30/2020,By state,New York,New York,02/01/2020,04/25/2020,"4,800","32,000",1.22,"5,080","2,480",188,,
04/30/2020,By state,New York City,New York City,02/01/2020,04/25/2020,"10,978","30,711",2.19,"6,076","4,019",850,,
04/30/2020,By state,North Carolina,North Carolina,02/01/2020,04/25/2020,0,"10,727",0.43,639,0,127,,
04/30/2020,By state,North Dakota,North Dakota,02/01/2020,04/25/2020,,"1,546",0.85,140,,18,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
04/30/2020,By state,Ohio,Ohio,02/01/2020,04/25/2020,171,"26,464",0.82,"1,502",74,225,,
04/30/2020,By state,Oklahoma,Oklahoma,02/01/2020,04/25/2020,114,"8,762",0.84,782,43,90,,
04/30/2020,By state,Oregon,Oregon,02/01/2020,04/25/2020,70,"8,392",0.89,446,30,59,,
04/30/2020,By state,Pennsylvania,Pennsylvania,02/01/2020,04/25/2020,"1,388","28,073",0.78,"2,164",553,176,,
04/30/2020,By state,Rhode Island,Rhode Island,02/01/2020,04/25/2020,55,"2,235",0.82,124,13,23,,
04/30/2020,By state,South Carolina,South Carolina,02/01/2020,04/25/2020,150,"12,807",1.01,786,56,91,,
04/30/2020,By state,South Dakota,South Dakota,02/01/2020,04/25/2020,,"1,898",0.89,149,,21,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
04/30/2020,By state,Tennessee,Tennessee,02/01/2020,04/25/2020,127,"18,292",0.95,"1,364",62,119,,
04/30/2020,By state,Texas,Texas,02/01/2020,04/25/2020,347,"48,574",0.93,"3,567",135,310,,
04/30/2020,By state,Utah,Utah,02/01/2020,04/25/2020,28,"4,675",0.96,277,11,38,,
04/30/2020,By state,Vermont,Vermont,02/01/2020,04/25/2020,42,"1,570",1.04,108,10,14,,
04/30/2020,By state,Virginia,Virginia,02/01/2020,04/25/2020,326,"17,624",0.99,981,103,102,,
04/30/2020,By state,Washington,Washington,02/01/2020,04/25/2020,527,"14,139",0.95,"1,175",281,98,,
04/30/2020,By state,West Virginia,West Virginia,02/01/2020,04/25/2020,11,"5,022",0.85,364,,57,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
04/30/2020,By state,Wisconsin,Wisconsin,02/01/2020,04/25/2020,209,"13,718",1,786,32,145,,
04/30/2020,By state,Wyoming,Wyoming,02/01/2020,04/25/2020,,"1,139",0.99,89,,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
04/30/2020,By state,Puerto Rico,Puerto Rico,02/01/2020,04/25/2020,63,"5,158",0,730,31,28,,
04/30/2020,By sex,United States,Total deaths,02/01/2020,04/25/2020,"34,521","713,386",0.97,"62,725","15,301","5,821",,
04/30/2020,By sex,United States,Male,02/01/2020,04/25/2020,"19,581","368,275",0.97,"33,635","8,785","2,989",,
04/30/2020,By sex,United States,Female,02/01/2020,04/25/2020,"14,940","345,085",0.97,"29,089","6,515","2,832",,
04/30/2020,By sex,United States,Unknown,02/01/2020,04/25/2020,1,25,0.97,1,1,0,,
04/30/2020,By place of death,United States,Total,02/01/2020,04/25/2020,"34,521","713,386",0.97,"62,725","15,301","5,821",,
04/30/2020,By place of death,United States,"Healthcare setting, inpatient",02/01/2020,04/25/2020,"23,441","205,899",0.97,"43,022","12,092","3,600",,
04/30/2020,By place of death,United States,"Healthcare setting, outpatient or emergency room",02/01/2020,04/25/2020,"1,648","42,360",0.97,"2,418",619,191,,
04/30/2020,By place of death,United States,"Healthcare setting, dead on arrival",02/01/2020,04/25/2020,44,"1,884",0.97,49,12,11,,
04/30/2020,By place of death,United States,Decedent's home,02/01/2020,04/25/2020,"2,415","230,062",0.97,"4,634",338,"1,201",,
04/30/2020,By place of death,United States,Hospice facility,02/01/2020,04/25/2020,439,"49,755",0.97,"3,089",216,289,,
04/30/2020,By place of death,United States,Nursing home/long term care facility,02/01/2020,04/25/2020,"6,160","138,583",0.97,"8,509","1,924",449,,
04/30/2020,By place of death,United States,Other,02/01/2020,04/25/2020,369,"44,579",0.97,983,97,80,,
04/30/2020,By place of death,United States,Place of death unknown,02/01/2020,04/25/2020,5,264,0.97,21,3,0,,
