Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, and COVID-19 Deaths",Footnote
05/01/2020,02/01/2020,04/25/2020,Alabama,Unknown,All ages,0,0,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Alabama Total,All sexes,All Ages,152,"12,426",769,42,83,962,
05/01/2020,02/01/2020,04/25/2020,Alaska,Male,Under 1 year,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alaska,Male,1-4 years,0,0,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Alaska,Male,5-14 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alaska,Male,15-24 years,0,16,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Alaska,Male,25-34 years,0,21,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Alaska,Male,35-44 years,0,21,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alaska,Male,45-54 years,0,38,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Alaska,Male,55-64 years,0,78,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alaska,Male,65-74 years,,112,,,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alaska,Male,75-84 years,0,129,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alaska,Male,85 years and over,0,71,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alaska,Male Total,"Male, all ages",,496,24,,,27,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alaska,Female,Under 1 year,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alaska,Female,1-4 years,0,,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alaska,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alaska,Female,15-24 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alaska,Female,25-34 years,0,10,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alaska,Female,35-44 years,0,21,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Alaska,Female,45-54 years,0,17,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alaska,Female,55-64 years,,58,,,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alaska,Female,65-74 years,0,79,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alaska,Female,75-84 years,0,78,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alaska,Female,85 years and over,0,88,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alaska,Female Total,"Female, all ages",,360,17,,,20,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Alaska,Unknown,All ages,0,0,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Alaska Total,All sexes,All Ages,,856,41,,,47,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arizona,Male,Under 1 year,0,44,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arizona,Male,1-4 years,0,13,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arizona,Male,5-14 years,0,18,0,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arizona,Male,15-24 years,0,185,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Arizona,Male,25-34 years,,255,,,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arizona,Male,35-44 years,,298,10,,,12,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arizona,Male,45-54 years,,513,22,,,29,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arizona,Male,55-64 years,18,"1,165",82,14,13,99,
05/01/2020,02/01/2020,04/25/2020,Arizona,Male,65-74 years,26,"1,813",136,13,14,163,
05/01/2020,02/01/2020,04/25/2020,Arizona,Male,75-84 years,32,"2,263",190,21,12,213,
05/01/2020,02/01/2020,04/25/2020,Arizona,Male,85 years and over,28,"1,942",152,14,10,176,
05/01/2020,02/01/2020,04/25/2020,Arizona,Male Total,"Male, all ages",112,"8,509",597,67,60,702,
05/01/2020,02/01/2020,04/25/2020,Arizona,Female,Under 1 year,0,50,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arizona,Female,1-4 years,0,13,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arizona,Female,5-14 years,0,12,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Arizona,Female,15-24 years,0,50,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arizona,Female,25-34 years,0,113,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arizona,Female,35-44 years,,159,,,,12,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arizona,Female,45-54 years,,280,20,,,28,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arizona,Female,55-64 years,11,763,69,,,83,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arizona,Female,65-74 years,14,"1,337",102,,13,123,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arizona,Female,75-84 years,25,"1,972",144,11,,167,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arizona,Female,85 years and over,25,"2,601",163,,,185,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arizona,Female Total,"Female, all ages",82,"7,350",518,35,45,610,
05/01/2020,02/01/2020,04/25/2020,Arizona,Unknown,All ages,0,0,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Arizona Total,All sexes,All Ages,194,"15,859","1,115",102,105,"1,312",
05/01/2020,02/01/2020,04/25/2020,Arkansas,Male,Under 1 year,0,30,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arkansas,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arkansas,Male,5-14 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arkansas,Male,15-24 years,0,53,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arkansas,Male,25-34 years,,99,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arkansas,Male,35-44 years,0,150,11,0,,14,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arkansas,Male,45-54 years,,277,12,0,,16,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arkansas,Male,55-64 years,,684,47,,,57,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arkansas,Male,65-74 years,,960,65,,10,76,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arkansas,Male,75-84 years,10,"1,057",78,,,91,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arkansas,Male,85 years and over,,754,75,0,,79,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arkansas,Male Total,"Male, all ages",21,"4,080",293,,35,341,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arkansas,Female,Under 1 year,0,20,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Arkansas,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arkansas,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arkansas,Female,15-24 years,0,20,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arkansas,Female,25-34 years,0,58,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arkansas,Female,35-44 years,,93,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arkansas,Female,45-54 years,0,200,14,0,,17,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arkansas,Female,55-64 years,,436,35,,,42,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arkansas,Female,65-74 years,,715,42,0,,54,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arkansas,Female,75-84 years,0,981,58,0,,63,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arkansas,Female,85 years and over,,"1,258",76,0,,88,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arkansas,Female Total,"Female, all ages",11,"3,792",234,,32,275,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Arkansas,Unknown,All ages,0,0,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Arkansas Total,All sexes,All Ages,32,"7,872",527,10,67,616,
05/01/2020,02/01/2020,04/25/2020,California,Male,Under 1 year,0,215,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,California,Male,1-4 years,0,43,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,California,Male,5-14 years,0,62,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,California,Male,15-24 years,0,542,15,0,,16,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,California,Male,25-34 years,11,"1,038",28,,,41,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,California,Male,35-44 years,24,"1,286",71,12,10,93,
05/01/2020,02/01/2020,04/25/2020,California,Male,45-54 years,58,"2,359",150,29,33,212,
05/01/2020,02/01/2020,04/25/2020,California,Male,55-64 years,103,"5,316",406,59,67,517,
05/01/2020,02/01/2020,04/25/2020,California,Male,65-74 years,164,"7,596",710,94,56,836,
05/01/2020,02/01/2020,04/25/2020,California,Male,75-84 years,202,"8,631",925,123,56,"1,060",
05/01/2020,02/01/2020,04/25/2020,California,Male,85 years and over,161,"9,581",961,86,50,"1,086",
05/01/2020,02/01/2020,04/25/2020,California,Male Total,"Male, all ages",723,"36,669","3,274",409,288,"3,876",
05/01/2020,02/01/2020,04/25/2020,California,Female,Under 1 year,0,179,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,California,Female,1-4 years,0,27,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,California,Female,5-14 years,0,46,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,California,Female,15-24 years,,178,,,,13,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,California,Female,25-34 years,,386,15,0,,24,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,California,Female,35-44 years,13,636,41,,,57,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,California,Female,45-54 years,22,"1,351",88,13,20,117,
05/01/2020,02/01/2020,04/25/2020,California,Female,55-64 years,35,"3,219",253,18,46,316,
05/01/2020,02/01/2020,04/25/2020,California,Female,65-74 years,77,"5,274",451,48,47,527,
05/01/2020,02/01/2020,04/25/2020,California,Female,75-84 years,127,"7,906",696,82,69,810,
05/01/2020,02/01/2020,04/25/2020,California,Female,85 years and over,223,"13,849","1,195",137,62,"1,343",
05/01/2020,02/01/2020,04/25/2020,California,Female Total,"Female, all ages",501,"33,051","2,755",305,264,"3,215",
05/01/2020,02/01/2020,04/25/2020,California,Unknown,All ages,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,California Total,All sexes,All Ages,"1,224","69,721","6,029",714,552,"7,091",
05/01/2020,02/01/2020,04/25/2020,Colorado,Male,Under 1 year,,45,0,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Colorado,Male,1-4 years,0,,0,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Colorado,Male,5-14 years,0,15,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Colorado,Male,15-24 years,,100,,,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Colorado,Male,25-34 years,,201,,,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Colorado,Male,35-44 years,,262,12,,,18,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Colorado,Male,45-54 years,15,374,23,10,,34,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Colorado,Male,55-64 years,28,839,71,16,10,93,
05/01/2020,02/01/2020,04/25/2020,Colorado,Male,65-74 years,59,"1,214",136,38,,166,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Colorado,Male,75-84 years,97,"1,330",155,67,,189,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Colorado,Male,85 years and over,99,"1,311",133,59,10,181,
05/01/2020,02/01/2020,04/25/2020,Colorado,Male Total,"Male, all ages",308,"5,696",536,195,45,692,
05/01/2020,02/01/2020,04/25/2020,Colorado,Female,Under 1 year,,41,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Colorado,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Colorado,Female,5-14 years,0,,0,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Colorado,Female,15-24 years,,43,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Colorado,Female,25-34 years,0,84,,0,0,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Colorado,Female,35-44 years,,114,,0,,,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Colorado,Female,45-54 years,,226,14,,,20,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Colorado,Female,55-64 years,11,525,37,,11,52,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Colorado,Female,65-74 years,47,855,75,26,,103,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Colorado,Female,75-84 years,69,"1,186",120,35,,159,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Colorado,Female,85 years and over,109,"2,067",180,64,13,238,
05/01/2020,02/01/2020,04/25/2020,Colorado,Female Total,"Female, all ages",243,"5,150",436,133,46,589,
05/01/2020,02/01/2020,04/25/2020,Colorado,Unknown,All ages,0,0,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Colorado Total,All sexes,All Ages,551,"10,846",972,328,91,"1,281",
05/01/2020,02/01/2020,04/25/2020,Connecticut,Male,Under 1 year,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Connecticut,Male,1-4 years,0,0,0,0,0,0,
05/01/2020,02/01/2020,04/25/2020,Connecticut,Male,5-14 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
05/01/2020,02/01/2020,04/25/2020,Connecticut,Male,15-24 years,0,,0,0,0,0,One or more data cells have counts <10 and have been suppressed in accordance with NCHS confidentiality standards.
